"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categories/10","url","categoryName"
"Gómez Lizondo Abogados","5","16","Carrer de Joaquín Costa, 59, 2º-Pta.4","València","Valencia","ES","http://gomezlizondoabogada.com/",,"Abogado especialista en derecho de extranjería",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=G%C3%B3mez%20Lizondo%20Abogados&query_place_id=ChIJPX5zwJN5OmgRypPVXizpMa0","Abogado especialista en derecho de extranjería"
"ABOGADO EXTRANJERIA","4.9","407","Pg. de les Germanies, 89","Gandia","Valencia","ES","http://www.abogadoextranjeriaonline.es/","+34 620 65 04 91","Bufete",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ABOGADO%20EXTRANJERIA&query_place_id=ChIJ7YpsMTboYQ0RxFOdVlmNghE","Bufete"
"Cordobesa Abogados","4.9","176","Av. d'Aragó, 30, Edificio Europa","València","Valencia","ES","https://cordobesaenvalencia.my.canva.site/","+34 696 22 57 02","Servicios legales",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cordobesa%20Abogados&query_place_id=ChIJt5_9YjRPYA0RLAjV52Gj-HY","Servicios legales"
"Lyra Abogados","5","129","Av. de les Corts Valencianes, 43 B, Planta 01, Oficina C2","València","Valencia","ES","https://lyraabogados.es/","+34 622 81 01 11","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lyra%20Abogados&query_place_id=ChIJPR2VdY1JYA0RNGO_zlb7RlM","Abogado"
"Abogado Rafael Serrano","4.8","178","Carrer d'Àngel Guimerà, 26","València","Valencia","ES","https://www.abogadorafaelserrano.com/","+34 961 48 39 86","Abogado especialista en derecho de extranjería","Abogado","Abogado laboralista",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Abogado%20Rafael%20Serrano&query_place_id=ChIJqa3GE95PYA0R2AgVanU3yvI","Abogado especialista en derecho de extranjería"
"Abogada de extranjeria /Inmigration Lawyer María García Serrano","5","52","Carrer Illa de Sardenya, 25, piso 4, puerta J","Puerto de Sagunto","Valencia","ES","https://abogadaextranjeria.es/","+34 633 76 91 72","Abogado especialista en derecho de extranjería",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Abogada%20de%20extranjeria%20%2FInmigration%20Lawyer%20Mar%C3%ADa%20Garc%C3%ADa%20Serrano&query_place_id=ChIJx-HafeYXYA0RXuwzPEmaF58","Abogado especialista en derecho de extranjería"
"Despacho Abogados IMM Consulting","4.4","524","C/ de Sant Vicent Màrtir, 85","València","Valencia","ES","http://www.immconsulting.es/","+34 960 04 31 53","Abogado especialista en derecho de extranjería","Servicio de administración de empresas","Abogado especializado en derecho laboral","Organització per a estudiants estrangers d'intercanvi","Asesor fiscal","Gestoría",,,,,,"https://www.google.com/maps/search/?api=1&query=Despacho%20Abogados%20IMM%20Consulting&query_place_id=ChIJpUcYn0xPYA0ROGsxBsME19I","Abogado especialista en derecho de extranjería"
"María Carrasco Abogada","5","178","C/ de Moratín, 11, piso 5, puerta 30","València","Valencia","ES","http://www.mariacarrascoabogada.com/","+34 681 14 28 64","Abogado especialista en derecho de extranjería",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mar%C3%ADa%20Carrasco%20Abogada&query_place_id=ChIJT6fEMBdJYA0RWodgHrTPtnI","Abogado especialista en derecho de extranjería"
"Ferrandis Abogadas","4.7","42","C/ de la Pau, 26, Piso 1 ,puerta 2","València","Valencia","ES","http://ferrandisabogados.com/","+34 963 94 43 27","Abogado especialista en derecho de extranjería","Abogado matrimonialista","Abogado de Derecho de familia",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ferrandis%20Abogadas&query_place_id=ChIJlRR3-7JIYA0RnXeM5a-Acts","Abogado especialista en derecho de extranjería"
"Signum Abogados","4.4","165","Carrer de Pizarro, 1, puerta 25","València","Valencia","ES","https://abogadosvalenciamf.es/","+34 674 63 33 30","Abogado especialista en derecho de extranjería","Abogado penalista","Abogado matrimonialista","Abogado de Derecho de familia","Abogado","Abogado especialista en derecho de seguros","Abogado laboralista","Servicios legales","Abogado de lesiones personales","Asesor fiscal",,"https://www.google.com/maps/search/?api=1&query=Signum%20Abogados&query_place_id=ChIJ5ZGgVbRIYA0RP0LQYVEkjq0","Abogado especialista en derecho de extranjería"
